epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,93330.6,1.24762,1.2881,1.14884,0.3573,0.37563,0.306,0.20762,1.33648,1.52845,1.34332,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,94759,1.24412,1.28222,1.15107,0.36135,0.37268,0.30614,0.20769,1.33679,1.5282,1.34315,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,96023.1,1.23963,1.29597,1.15132,0.36385,0.36997,0.30678,0.20832,1.33673,1.52825,1.34244,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,97144.7,1.24074,1.29273,1.15058,0.3678,0.36984,0.30724,0.20866,1.33679,1.52812,1.34183,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,98248.4,1.24484,1.27599,1.14725,0.37053,0.36794,0.30744,0.20879,1.33701,1.52876,1.34153,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,99349,1.24265,1.28645,1.15098,0.37434,0.36577,0.30777,0.20907,1.33654,1.52809,1.34099,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,100652,1.23654,1.27994,1.14754,0.37695,0.36414,0.30863,0.20961,1.33644,1.5289,1.3405,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,101970,1.23334,1.26219,1.14296,0.37381,0.36846,0.30923,0.21015,1.33652,1.5295,1.34046,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,103456,1.23294,1.26885,1.14701,0.37484,0.36853,0.30942,0.2101,1.33667,1.52923,1.34037,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,104992,1.22634,1.26213,1.14365,0.3729,0.3682,0.3099,0.21031,1.33684,1.52946,1.34048,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
94,106509,1.23528,1.26009,1.14307,0.37306,0.3671,0.30987,0.21048,1.33704,1.52882,1.34001,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965,0.0161895,0.0053965
95,107993,1.23067,1.26593,1.14666,0.37328,0.36651,0.31078,0.21138,1.33746,1.52926,1.33994,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
96,109479,1.23016,1.26165,1.14137,0.37364,0.37025,0.311,0.21152,1.33748,1.52917,1.3396,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
97,110707,1.22371,1.24638,1.13594,0.37358,0.37098,0.31174,0.21201,1.33706,1.52968,1.33896,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
98,111835,1.22556,1.2408,1.13994,0.37004,0.37425,0.31191,0.21211,1.33728,1.53011,1.33908,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985,0.0155955,0.0051985
99,113133,1.2263,1.24569,1.13514,0.37234,0.37319,0.31228,0.21234,1.33746,1.53073,1.33866,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
100,114626,1.22256,1.24188,1.13949,0.37646,0.36932,0.31273,0.21254,1.33778,1.53125,1.33879,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995,0.0152985,0.0050995
101,115922,1.2179,1.22326,1.13319,0.37139,0.37073,0.31336,0.2131,1.33798,1.53235,1.33856,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
102,117222,1.22668,1.2414,1.13942,0.37601,0.36939,0.31376,0.21344,1.33842,1.53271,1.33836,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
103,118462,1.21389,1.22687,1.13258,0.37534,0.36787,0.31359,0.2133,1.33902,1.53292,1.33862,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
